,time,BTCBalance
490,2022-08-16 18:46:19.890,9274.934522858912
491,2022-08-16 18:46:19.891,9211.883030438912
492,2022-08-16 18:46:26.994,8941.883030438912
493,2022-08-16 18:46:28.005,8827.764914678912
494,2022-08-16 18:46:28.005,8679.916778378913
495,2022-08-16 18:46:28.005,8671.883030438912
496,2022-08-16 18:47:07.590,8515.789280438912
497,2022-08-16 18:47:07.591,8405.907139058912
498,2022-08-16 18:47:07.591,8401.883030438912
499,2022-08-16 18:47:07.687,8379.527030438912
500,2022-08-16 18:47:35.554,8371.961522438913
501,2022-08-16 18:47:40.832,8353.958408438913
502,2022-08-16 18:48:27.773,8186.990088758914
503,2022-08-16 18:48:27.794,8156.241020498914
504,2022-08-16 18:48:27.794,8134.843930898914
505,2022-08-16 18:48:27.794,8083.9584084389135
506,2022-08-16 18:48:58.020,8100.068597798913
507,2022-08-16 18:49:17.987,8310.514831178913
508,2022-08-16 18:49:17.999,8370.068597798912
509,2022-08-16 18:49:25.740,8386.943597798912
510,2022-08-16 18:49:25.744,8403.279048158913
511,2022-08-16 18:49:25.745,8640.068597798912
512,2022-08-16 18:49:28.098,8624.467997798913
513,2022-08-16 18:49:28.109,8559.104052578912
514,2022-08-16 18:49:28.117,8550.788052578911
515,2022-08-16 18:49:28.207,8370.06859779891
516,2022-08-16 18:49:28.769,8354.05271295891
517,2022-08-16 18:49:28.776,8246.22335835891
518,2022-08-16 18:49:28.797,8223.38667681891
519,2022-08-16 18:49:28.807,8198.26632717891
520,2022-08-16 18:49:28.809,8130.75538785891
521,2022-08-16 18:49:28.820,8117.32028883891
522,2022-08-16 18:49:28.821,8100.06859779891
523,2022-08-16 18:49:33.793,8370.068597798909
524,2022-08-16 18:49:48.388,8640.068597798909
525,2022-08-16 18:50:23.456,8653.77825657891
526,2022-08-16 18:50:23.456,8668.792763258909
527,2022-08-16 18:50:23.457,8685.769788158908
528,2022-08-16 18:50:23.457,8698.832196998908
529,2022-08-16 18:50:23.457,8726.265464918908
530,2022-08-16 18:50:23.705,8743.140464918908
531,2022-08-16 18:51:01.424,8473.140464918908
532,2022-08-16 18:51:03.407,8457.292587038908
533,2022-08-16 18:51:12.852,8440.417587038908
534,2022-08-16 18:51:13.138,8359.417587038908
535,2022-08-16 18:51:13.142,8187.292587038908
536,2022-08-16 18:51:31.219,8190.924546578908
537,2022-08-16 18:51:31.223,8227.069230578909
538,2022-08-16 18:51:31.224,8243.944230578909
539,2022-08-16 18:51:32.125,8383.333760978909
540,2022-08-16 18:51:32.129,8457.292587038908
541,2022-08-16 18:51:33.577,8530.102338998908
542,2022-08-16 18:51:33.585,8698.229610998907
543,2022-08-16 18:51:33.593,8711.339767718908
544,2022-08-16 18:51:33.656,8727.292587038908
545,2022-08-16 18:51:41.468,8457.292587038908
546,2022-08-16 18:52:03.324,8422.110270518908
547,2022-08-16 18:52:03.328,8187.292587038908
548,2022-08-16 18:52:36.942,7917.292587038908
549,2022-08-16 18:54:28.604,8187.292587038908
550,2022-08-16 18:55:09.542,7917.292587038908
551,2022-08-16 18:55:11.361,7647.292587038908
552,2022-08-16 18:56:25.714,7917.292587038908
553,2022-08-16 18:58:38.080,7647.292587038908
554,2022-08-16 18:59:16.496,7652.762737358908
555,2022-08-16 19:00:00.101,7538.3848875389085
556,2022-08-16 19:02:48.992,7571.486887538908
557,2022-08-16 19:02:49.005,7597.730887538908
558,2022-08-16 19:02:49.165,7606.311431378908
559,2022-08-16 19:02:49.188,7628.061851078908
